,siret
55035057,52914758900020
66809884,82000913200029
54108913,52321891500016
36223013,43496042300029
31879912,42240463200016
47311415,49187016800011
62080295,79177768300016
37673356,44026973600011
69507983,83887487300022
25430779,40311328500023
56305000,53471681600028
50404634,50398369400012
39455818,44426916100014
61723732,79015891900023
66119066,81476691100014
37770732,44046487300015
28190362,41178805200016
68820548,83264803400011
42136902,45235970600010
37518749,43994273100019
9823152,33430006800015
29882805,41781549500029
27345448,40982499200013
3919421,31278599100018
69319177,83768530400011
62986091,79785701800015
24485630,40097328500010
7864435,32834781000017
54843050,52832287800026
67099132,82143987400024
58329472,70470406300038
54539780,52502388300024
6903373,32509246800025
60835739,78301491300017
59547408,76020030300013
65396116,81136794500011
56422565,53523123700038
69423643,83833954700013
50753190,50664108300049
49133639,49947281900063
20616966,39015719600010
45040540,48305428400029
47779231,49328385700016
4594409,31596792700023
38545206,44221198300014
66378891,81790707400014
66243892,81535221600023
71024009,85151250900015
68536700,83096359100011
38781825,44274820800018
70802837,84982416400016
61377789,78858407600020
5538727,32004669100012
30672916,41967142500488
57894861,63271398800012
56825654,53892211300039
62629368,79431708100014
45150458,48338467300016
16932125,37980520300013
62622640,79428593200016
26924028,40876101300015
16446292,37864226800015
11993119,34241578300022
16261217,37818287700027
5156188,31846162100019
38113552,44122922600028
30092156,41830521500018
39565553,44450537400017
64793712,80842096200017
61384350,78861290100017
34660305,43145649000017
55200277,52985548800019
25672450,40364109500019
13308879,34784270000028
5585464,32024136700020
53057572,51880938900027
13621917,34869055300014
68531102,83093218200017
70908391,85062295200016
37171818,43916658800046
10196320,33558133600039
70248461,84385000900013
32027943,42273844300031
72277809,88473798200014
63315049,79938684200014
72363344,88667289800022
67241978,82213437500010
63024822,79803639800013
69831070,84099779500017
34183237,43007711500011
49393827,50027610000012
52251276,51355178800013
18752184,38394240600059
4724340,31659016500023
59691891,77560248500341
13196660,34755150900016
60233367,77845642600015
44795288,48230012600034
16187450,37800628200016
8827919,33133046400016
8496829,33031180400018
62105464,79189248200021
4529790,31567231100034
49316285,50003715500024
33273395,42787855800019
39963176,44536003500015
67550651,82369574700019
71424285,87749449200011
34997829,43225110600030
18631982,38368505400017
